"date";"close";"return";"returnUS";"liquidity";"id";"close0"
2014-01-01;NA;NA;NA;NA;"PETR";0
2014-01-02;15,747225241;-1,932084309;-4,1777270917;5,2986536776;"PETR";15,747225241
2014-01-03;15,436981401;-1,9701492536;-1,0039311047;4,8896696975;"PETR";15,436981401
2014-01-06;15,625007971;1,2180267964;1,0137952069;4,5930624358;"PETR";15,625007971
2014-01-07;15,192546859;-2,7677496992;-2,1300667509;4,5845828748;"PETR";15,192546859
2014-01-08;15,220750845;0,18564356433;-0,42527019641;4,5402019132;"PETR";15,220750845
2014-01-09;14,760085748;-3,0265596047;-3,7591219049;4,5335561338;"PETR";14,760085748
2014-01-10;15,013921618;1,7197452229;2,3218899007;4,5512321817;"PETR";15,013921618
2014-01-13;14,825895048;-1,2523481528;0,12644499384;4,4025434106;"PETR";14,825895048
2014-01-14;14,760085748;-0,44388078632;-0,97502661429;4,3718971607;"PETR";14,760085748
2014-01-15;15,079730917;2,1656050956;2,8055004492;4,4347643083;"PETR";15,079730917
2014-01-16;14,656671135;-2,8054862844;-3,6796336229;4,4878160711;"PETR";14,656671135
2014-01-17;14,581460507;-0,51314945476;-0,16748945136;4,4464845147;"PETR";14,581460507
2014-01-20;14,271216666;-2,1276595746;-1,011994584;4,6648561421;"PETR";14,271216666
2014-01-21;14,421637922;1,0540184454;-0,11455775902;4,6231952609;"PETR";14,421637922
2014-01-22;14,891704347;3,259452412;3,2900789178;4,7512351183;"PETR";14,891704347
2014-01-23;14,543855193;-2,3358585858;-2,9935018932;4,7975361389;"PETR";14,543855193
2014-01-24;14,196006038;-2,3917259211;-3,8803845832;4,8142397694;"PETR";14,196006038
2014-01-27;14,205407367;0,066225165574;0,41997783301;4,7736311973;"PETR";14,205407367
2014-01-28;14,148999396;-0,39708802124;-0,89582389328;4,815414703;"PETR";14,148999396
2014-01-29;13,913966183;-1,6611295681;-2,5962698698;4,8185922944;"PETR";13,913966183
2014-01-30;13,819952898;-0,67567567567;0,033666633863;4,8764381277;"PETR";13,819952898
2014-01-31;13,819952898;0;-0,16073857314;5,0543577466;"PETR";13,819952898
2014-02-03;13,020839975;-5,7823129251;-5,1056977378;5,4621274032;"PETR";13,020839975
2014-02-04;13,246471859;1,7328519854;1,3667702498;5,5149559104;"PETR";13,246471859
2014-02-05;13,002037318;-1,8452803407;-1,556182809;5,5928893729;"PETR";13,002037318
2014-02-06;13,359287801;2,7476500361;3,0254503461;5,6890710906;"PETR";13,359287801
2014-02-07;13,584919686;1,6889514425;2,6453407914;5,7836345514;"PETR";13,584919686
2014-02-10;13,735340942;1,107266436;0,6046024695;6,0374908246;"PETR";13,735340942
2014-02-11;14,064387439;2,3956194387;1,8001971624;5,9876915207;"PETR";14,064387439
2014-02-12;14,064387439;0;-0,041517894169;5,8825872333;"PETR";14,064387439
2014-02-13;13,735340942;-2,3395721925;-2,9520148458;5,9404239113;"PETR";13,735340942
2014-02-14;13,707136956;-0,20533880906;1,1044556908;6,0012198517;"PETR";13,707136956
2014-02-17;13,566117029;-1,0288065844;-0,80490861847;5,9308225464;"PETR";13,566117029
2014-02-18;13,265274516;-2,2176022175;-2,6783206828;5,8647054403;"PETR";13,265274516
2014-02-19;13,349886473;0,63784549948;0,62525842641;5,8044271979;"PETR";13,349886473
2014-02-20;13,312281159;-0,28169014086;0,50184378688;5,7278327903;"PETR";13,312281159
2014-02-21;13,30287983;-0,070621468876;0,66536633494;5,7319992596;"PETR";13,30287983
2014-02-24;13,631926328;2,4734982333;3,4986274959;5,7357840513;"PETR";13,631926328
2014-02-25;13,331083816;-2,2068965519;-2,1064542836;5,7901295584;"PETR";13,331083816
2014-02-26;12,861017391;-3,5260930888;-3,8839522984;5,9404281574;"PETR";12,861017391
2014-02-27;13,199465217;2,6315789473;2,7104050449;5,9267129669;"PETR";13,199465217
2014-02-28;12,776405434;-3,2051282052;-2,7820084261;5,7571864318;"PETR";12,776405434
2014-03-03;NA;NA;NA;NA;"PETR";0
2014-03-04;NA;NA;NA;NA;"PETR";0
2014-03-05;12,494365579;-2,2075055187;-1,8119592846;5,3564660933;"PETR";12,494365579
2014-03-06;12,625984178;1,0534236268;1,6922821982;5,2683676299;"PETR";12,625984178
2014-03-07;12,522569565;-0,81906180176;-2,0406899859;5,2132775592;"PETR";12,522569565
2014-03-10;12,231128381;-2,3273273275;-2,4441506866;5,2439267751;"PETR";12,231128381
2014-03-11;12,325141666;0,76863950817;0,54958658566;5,3273404337;"PETR";12,325141666
2014-03-12;12,522569565;1,6018306636;0,79413713902;5,5205424934;"PETR";12,522569565
2014-03-13;12,325141666;-1,5765765766;-0,89348801257;5,4310291614;"PETR";12,325141666
2014-03-14;12,014897826;-2,5171624714;-3,1440087065;5,5069242346;"PETR";12,014897826
2014-03-17;11,817469927;-1,6431924882;-1,1413293662;5,6017023438;"PETR";11,817469927
2014-03-18;12,193523067;3,1821797931;3,1646332953;5,7554403393;"PETR";12,193523067
2014-03-19;12,541372222;2,8527370856;3,6636422028;5,9965683366;"PETR";12,541372222
2014-03-20;13,152458574;4,8725637182;4,505375408;6,2398087398;"PETR";13,152458574
2014-03-21;13,18066256;0,2144388849;0,96890336354;6,4104366754;"PETR";13,18066256
2014-03-24;13,537913043;2,7104136947;2,6971595978;6,5188727736;"PETR";13,537913043
2014-03-25;13,613123671;0,55555555555;1,0947740684;6,5855155892;"PETR";13,613123671
2014-03-26;13,537913043;-0,55248618792;-0,53097844248;6,3774639596;"PETR";13,537913043
2014-03-27;14,637868478;8,1250000001;9,4937308368;6,6752015105;"PETR";14,637868478
2014-03-28;14,722480434;0,57803468208;1,5881313007;6,9425578737;"PETR";14,722480434
2014-03-31;14,835296376;0,7662835249;0,64605861753;6,8591749038;"PETR";14,835296376
2014-04-01;14,863500362;0,19011406839;0,23440678015;6,8791567494;"PETR";14,863500362
2014-04-02;15,5686;4,743833017;4,324138208;7,0377872289;"PETR";15,5686
2014-04-03;15,4;-1,0829490127;-1,5165865164;7,1846656138;"PETR";15,4
2014-04-04;15,44;0,25974025975;2,008248665;7,1240773531;"PETR";15,44
2014-04-07;16,46;6,6062176165;7,055065796;7,4783647336;"PETR";16,46
2014-04-08;15,99;-2,8554070473;-1,2992544708;7,5479760607;"PETR";15,99
2014-04-09;15,85;-0,87554721704;-1,4897234202;7,5169988607;"PETR";15,85
2014-04-10;15,68;-1,0725552052;-0,51463447226;7,4624895167;"PETR";15,68
